CUSTOMER NAME,CUSTOMER CODE,Territory,Region
Agro Chemicals 54,20000054,Amravati,Delhi
Agro Chemicals 26,20000026,Abohar,Pune
Green World 1,20000001,South,Ahmedabad
Agro Chemicals 13,20000013,Amravati,Bathinda
Kisan Store 66,20000066,West,Bathinda
Agro Chemicals 18,20000018,Amravati,Akola
Agro Sales 8,20000008,Amravati,Chennai
Green World 33,20000033,Baroda,Delhi
Agro Chemicals 68,20000068,West,Chennai
Kisan Store 79,20000079,Baroda,Bathinda
Kisan Store 6,20000006,West,Akola
Seeds & Pesticides 63,20000063,Baroda,Chennai
Kisan Store 92,20000092,North,Pune
Farmers Hub 15,20000015,West,Chennai
Green World 95,20000095,Abohar,Akola
Bajaj Seeds  & Pesticides,10005955,Amravati,Akola
Agro Chemicals 38,20000038,Abohar,Bathinda
Seeds & Pesticides 47,20000047,Abohar,Delhi
Agro Sales 11,20000011,Amravati,Ahmedabad
Agro Chemicals 3,20000003,Abohar,Ahmedabad
Kisan Store 57,20000057,North,Akola
Agro Chemicals 5,20000005,Abohar,Akola
Green World 46,20000046,Amravati,Delhi
Agro Sales 28,20000028,West,Ahmedabad
Green World 49,20000049,West,Pune
Seeds & Pesticides 36,20000036,Amravati,Pune
Agro Sales 9,20000009,South,Ahmedabad
Kisan Store 90,20000090,South,Delhi
Seeds & Pesticides 55,20000055,Amravati,Ahmedabad
Green World 62,20000062,South,Delhi
Agro Chemicals 30,20000030,Amravati,Bathinda
Agro Sales 61,20000061,North,Ahmedabad
Seeds & Pesticides 45,20000045,North,Chennai
Agro Chemicals 69,20000069,North,Chennai
Agro Chemicals 56,20000056,West,Delhi
Kisan Store 84,20000084,West,Ahmedabad
Seeds & Pesticides 97,20000097,West,Akola
Agro Chemicals 72,20000072,Amravati,Pune
Farmers Hub 14,20000014,Amravati,Pune
Agro Sales 93,20000093,West,Chennai
Agro Sales 94,20000094,Abohar,Bathinda
Kisan Store 87,20000087,Amravati,Ahmedabad
Agro Sales 17,20000017,Baroda,Chennai
Agro Chemicals 19,20000019,Abohar,Bathinda
Green World 16,20000016,West,Bathinda
Kisan Store 78,20000078,West,Akola
Seeds & Pesticides 99,20000099,South,Chennai
Green World 48,20000048,South,Akola
Green World 67,20000067,Abohar,Akola
Agro Chemicals 25,20000025,West,Delhi
Seeds & Pesticides 24,20000024,Baroda,Delhi
Agro Chemicals 98,20000098,West,Bathinda
Agro Chemicals 51,20000051,Amravati,Ahmedabad
Farmers Hub 75,20000075,North,Bathinda
Agro Sales 82,20000082,Amravati,Bathinda
Green World 85,20000085,Baroda,Delhi
Agro Chemicals 52,20000052,South,Ahmedabad
Farmers Hub 59,20000059,Baroda,Pune
Kisan Store 76,20000076,West,Bathinda
Agro Sales 50,20000050,Amravati,Pune
Seeds & Pesticides 83,20000083,North,Akola
Agro Sales 88,20000088,Baroda,Delhi
Agro Chemicals 20,20000020,Abohar,Bathinda
Seeds & Pesticides 44,20000044,Abohar,Delhi
Farmers Hub 0,20000000,Amravati,Akola
Agro Sales 35,20000035,West,Bathinda
Agro Sales 37,20000037,Amravati,Bathinda
Agro Chemicals 65,20000065,Abohar,Ahmedabad
Farmers Hub 31,20000031,Amravati,Ahmedabad
Farmers Hub 60,20000060,Abohar,Chennai
Green World 71,20000071,West,Ahmedabad
Kisan Store 58,20000058,South,Bathinda
Seeds & Pesticides 43,20000043,South,Akola
Kisan Store 89,20000089,South,Akola
Kisan Store 53,20000053,South,Chennai
Kisan Store 7,20000007,Baroda,Akola
Farmers Hub 34,20000034,Abohar,Akola
Green World 21,20000021,Amravati,Chennai
Agro Chemicals 64,20000064,South,Delhi
Green World 70,20000070,North,Ahmedabad
Kisan Store 39,20000039,North,Ahmedabad
Agro Chemicals 41,20000041,Amravati,Akola
Agro Chemicals 77,20000077,Abohar,Ahmedabad
Agro Chemicals 96,20000096,South,Akola
Seeds & Pesticides 74,20000074,Abohar,Pune
Garg Agro Chemicals,10001552,Abohar,Bathinda
Green World 42,20000042,Baroda,Ahmedabad
Agro Chemicals 29,20000029,Amravati,Akola
Agro Sales 91,20000091,North,Delhi
Avadhoot Agro Sales,10006413,Baroda,Ahmedabad
Seeds & Pesticides 32,20000032,South,Chennai
Farmers Hub 4,20000004,South,Pune
Seeds & Pesticides 80,20000080,West,Ahmedabad
Agro Sales 81,20000081,Abohar,Akola
Agro Chemicals 12,20000012,Abohar,Ahmedabad
Farmers Hub 2,20000002,West,Akola
Kisan Store 10,20000010,West,Ahmedabad
Kisan Store 86,20000086,South,Pune
Seeds & Pesticides 22,20000022,Baroda,Chennai
Agro Sales 27,20000027,Abohar,Delhi
Seeds & Pesticides 40,20000040,Baroda,Akola
Agro Chemicals 73,20000073,North,Pune
Agro Sales 23,20000023,West,Bathinda
